filename,slug,group,size_bytes,duration_seconds,sha256
ep05-working-with-issues.mp3,ep05-working-with-issues,ep,8757933,927.36,26435fd2001d42c1d78427368ebc0c4f7888a5ee9cee7d3a28c02355e856c5ae
ep06-working-with-pull-requests.mp3,ep06-working-with-pull-requests,ep,7336677,772.18,20e1ca4581ac2c380a8eb324e147f69a73f52d4cfe0c1a246dbf2ee8f53af1b1
ep07-merge-conflicts.mp3,ep07-merge-conflicts,ep,5942205,634.49,faf914f4faed8a385d91ffc6293080ec3899ecfd02442003366f710ae8251e18
ep08-culture-and-etiquette.mp3,ep08-culture-and-etiquette,ep,6423765,681.34,70aad15f30bf94461ff9e5144fcd30ac2662aa90b406ddfcf962977bde8c98be
ep09-labels-milestones-projects.mp3,ep09-labels-milestones-projects,ep,7175229,757.06,410572857dfd0cb68590ab36e6004841319c81c82750f78e15b041b600e4c84a
ep10-notifications.mp3,ep10-notifications,ep,5460693,574.94,bbd5193a17d4cbf4bf667bcae135f0880583195c184528a7a4073a5958a89ed9
ep11-vscode-basics.mp3,ep11-vscode-basics,ep,7639941,802.51,8f67f5bbc322c65325aee509484e1ed875ce8117bd0df63c104df6ab40dcff42
ep12-git-source-control.mp3,ep12-git-source-control,ep,7503957,793.73,718634acfa2ec57284fde5ffe3b9717c55548f28866a03d401a4be0fdb028b75
ep13-github-prs-extension.mp3,ep13-github-prs-extension,ep,6720813,710.38,d2a649255ad76e7a318959ba4a7f5af3854f94043c4345c4c6efe1a81339b683
ep14-github-copilot.mp3,ep14-github-copilot,ep,8977869,939.89,68cb171343a81d2214af2785cee4ab31d19cdee3b1eada681fc4fbc4b2f08a09
